"Year","Value"
1969-01-01,"21.29393521"
1970-01-01,"22.55450514"
1971-01-01,"23.52417432"
1972-01-01,"24.29990967"
1973-01-01,"25.81259359"
1974-01-01,"28.6440276"
1975-01-01,"31.26213438"
1976-01-01,"33.06571906"
1977-01-01,"35.19899126"
1978-01-01,"37.89467158"
1979-01-01,"42.16121597"
1980-01-01,"47.86287075"
1981-01-01,"52.82757696"
1982-01-01,"56.06627202"
1983-01-01,"57.8698567"
1984-01-01,"60.33281642"
1985-01-01,"62.485482"
1986-01-01,"63.64692218"
1987-01-01,"65.96980256"
1988-01-01,"68.69918699"
1989-01-01,"72.00929152"
1990-01-01,"75.90011614"
1991-01-01,"79.09407666"
1992-01-01,"81.47502904"
1993-01-01,"83.91405343"
1994-01-01,"86.06271777"
1995-01-01,"88.50174216"
1996-01-01,"91.11498258"
1997-01-01,"93.20557491"
1998-01-01,"94.65737515"
1999-01-01,"96.74796748"
2000-01-01,"100"
2001-01-01,"102.8455285"
2002-01-01,"104.4715447"
2003-01-01,"106.8524971"
2004-01-01,"109.6980256"
2005-01-01,"113.4146342"
2006-01-01,"117.0731707"
2007-01-01,"120.4076655"
2008-01-01,"125.0307782"
